"","covar","value","std_error","t_value","p_value","id_covar","aic","r2","sig_lags","start_date","end_date","n"
"1","Intercept",0.980107958387606,0.259464255989277,3.77742959102664,0.000200448967942224,"bottom_DRP_ugL",132.031643169457,0.593409549819715,1,"2000-07-11","2021-06-15",253
"2","bottom_DRP_ugL",0.0048486700754774,0.00106032539385841,4.57281331142472,7.75590295684066e-06,"bottom_DRP_ugL",132.031643169457,0.593409549819715,1,"2000-07-11","2021-06-15",253
"3","tli_lag_1",0.611130480079868,0.0446208671183963,13.6960691162344,7.64576075153878e-32,"bottom_DRP_ugL",132.031643169457,0.593409549819715,1,"2000-07-11","2021-06-15",253
"4","tli_lag_8",-0.0434349603017781,0.0604950949333535,-0.717991439630431,0.47346971815486,"bottom_DRP_ugL",132.031643169457,0.593409549819715,1,"2000-07-11","2021-06-15",253
"5","tli_lag_9",0.0238708887493432,0.0720061998517119,0.331511575371321,0.740551052600801,"bottom_DRP_ugL",132.031643169457,0.593409549819715,1,"2000-07-11","2021-06-15",253
"6","tli_lag_10",0.169307119156784,0.0614800208180916,2.75385591780676,0.00634637926714854,"bottom_DRP_ugL",132.031643169457,0.593409549819715,1,"2000-07-11","2021-06-15",253
"7","Intercept",0.901469821679813,0.267546624040591,3.36939337176254,0.000879249944024723,"bottom_NH4_ugL",142.940677907606,0.574740504189284,1,"2000-07-11","2021-06-15",253
"8","bottom_NH4_ugL",0.000783613953655542,0.000253065207191177,3.09649027755746,0.00219409682167555,"bottom_NH4_ugL",142.940677907606,0.574740504189284,1,"2000-07-11","2021-06-15",253
"9","tli_lag_1",0.638965474375555,0.0449118514522036,14.2271016160525,1.28193611067587e-33,"bottom_NH4_ugL",142.940677907606,0.574740504189284,1,"2000-07-11","2021-06-15",253
"10","tli_lag_8",-0.0657315593307733,0.0614813840337465,-1.06912946681054,0.286099030453599,"bottom_NH4_ugL",142.940677907606,0.574740504189284,1,"2000-07-11","2021-06-15",253
"11","tli_lag_9",0.0391845144432781,0.0734880218879168,0.533209541318747,0.594388191272249,"bottom_NH4_ugL",142.940677907606,0.574740504189284,1,"2000-07-11","2021-06-15",253
"12","tli_lag_10",0.171169017723889,0.0632729019620314,2.70524999511803,0.00732086398097266,"bottom_NH4_ugL",142.940677907606,0.574740504189284,1,"2000-07-11","2021-06-15",253
"13","Intercept",0.587161309793684,0.254928134511075,2.30324248408202,0.0221318561742719,"temp_C_8",141.856466115161,0.576633690565899,1,"2000-07-11","2021-06-15",253
"14","temp_C_8",0.0188746188733735,0.00577258595707278,3.26969905926609,0.00123658958928272,"temp_C_8",141.856466115161,0.576633690565899,1,"2000-07-11","2021-06-15",253
"15","tli_lag_1",0.669712014660143,0.0431179904495118,15.5320785518594,5.37017462753674e-38,"temp_C_8",141.856466115161,0.576633690565899,1,"2000-07-11","2021-06-15",253
"16","tli_lag_8",-0.0517740939411014,0.061875537519593,-0.836745764425997,0.403578388991859,"temp_C_8",141.856466115161,0.576633690565899,1,"2000-07-11","2021-06-15",253
"17","tli_lag_9",0.0306854586456895,0.0735187730887134,0.417382627001434,0.676776407845637,"temp_C_8",141.856466115161,0.576633690565899,1,"2000-07-11","2021-06-15",253
"18","tli_lag_10",0.150201265822559,0.0643615055520556,2.33371274544031,0.0204477882186425,"temp_C_8",141.856466115161,0.576633690565899,1,"2000-07-11","2021-06-15",253
"19","Intercept",0.606502440378209,0.253366824203198,2.39377212184575,0.017454757450798,"air_temp_mean",139.678319110758,0.580411606139003,1,"2000-07-11","2021-06-15",253
"20","air_temp_mean",0.0228905542552049,0.00636804982526467,3.59459408819143,0.000395193214638834,"air_temp_mean",139.678319110758,0.580411606139003,1,"2000-07-11","2021-06-15",253
"21","tli_lag_1",0.671546429347588,0.0428912239575476,15.6569658635124,2.0457128994023e-38,"air_temp_mean",139.678319110758,0.580411606139003,1,"2000-07-11","2021-06-15",253
"22","tli_lag_8",-0.0464516905441434,0.0617010130731468,-0.752851342798452,0.452286397593162,"air_temp_mean",139.678319110758,0.580411606139003,1,"2000-07-11","2021-06-15",253
"23","tli_lag_9",0.0219218859324923,0.0733912727515444,0.298698811324689,0.765431598379036,"air_temp_mean",139.678319110758,0.580411606139003,1,"2000-07-11","2021-06-15",253
"24","tli_lag_10",0.145839458304809,0.0640275441422678,2.2777612394559,0.023632169590891,"air_temp_mean",139.678319110758,0.580411606139003,1,"2000-07-11","2021-06-15",253
"25","Intercept",0.60547591156164,0.261911476265254,2.31175785114676,0.0216494085979825,"windspeed_min",151.229828887274,0.559983910450346,1,"2000-07-11","2021-06-15",253
"26","windspeed_min",0.0828029749791483,0.0721103996013508,1.14828062854886,0.252010406922625,"windspeed_min",151.229828887274,0.559983910450346,1,"2000-07-11","2021-06-15",253
"27","tli_lag_1",0.682567346640652,0.0441050432317225,15.4759477970473,8.28692128210716e-38,"windspeed_min",151.229828887274,0.559983910450346,1,"2000-07-11","2021-06-15",253
"28","tli_lag_8",-0.0953016598989204,0.0628094132558794,-1.51731492078537,0.130519922288597,"windspeed_min",151.229828887274,0.559983910450346,1,"2000-07-11","2021-06-15",253
"29","tli_lag_9",0.0568883429175595,0.0746164610581542,0.762410091698427,0.446573397063847,"windspeed_min",151.229828887274,0.559983910450346,1,"2000-07-11","2021-06-15",253
"30","tli_lag_10",0.205924441777644,0.0635249098952208,3.24163296126353,0.001359235014797,"windspeed_min",151.229828887274,0.559983910450346,1,"2000-07-11","2021-06-15",253
"31","Intercept",15.0041890587413,15.732779200319,0.953689673496282,0.341212420654985,"monthly_avg_level_m",151.7256300399,0.559085214170765,1,"2000-07-11","2021-06-15",253
"32","monthly_avg_level_m",-0.0487778875548475,0.0534507759013027,-0.912575855679182,0.36239301303756,"monthly_avg_level_m",151.7256300399,0.559085214170765,1,"2000-07-11","2021-06-15",253
"33","tli_lag_1",0.677585431602928,0.043934215737674,15.4227273715027,1.25036807045533e-37,"monthly_avg_level_m",151.7256300399,0.559085214170765,1,"2000-07-11","2021-06-15",253
"34","tli_lag_8",-0.0780031506107605,0.0627860380267937,-1.24236459350203,0.215329951634548,"monthly_avg_level_m",151.7256300399,0.559085214170765,1,"2000-07-11","2021-06-15",253
"35","tli_lag_9",0.0557914037504689,0.0746766751937806,0.747106156047979,0.455740040260398,"monthly_avg_level_m",151.7256300399,0.559085214170765,1,"2000-07-11","2021-06-15",253
"36","tli_lag_10",0.201871747097367,0.0635720578605605,3.17547919465112,0.00169434298928822,"monthly_avg_level_m",151.7256300399,0.559085214170765,1,"2000-07-11","2021-06-15",253
"37","Intercept",0.55568627859623,0.295161721441229,1.88265021589825,0.0609727812705028,"sum_alum",152.127234218262,0.558355915303733,1,"2000-07-11","2021-06-15",253
"38","sum_alum",1.12450253086785e-06,1.69514551934594e-06,0.663366370635681,0.507740660629414,"sum_alum",152.127234218262,0.558355915303733,1,"2000-07-11","2021-06-15",253
"39","tli_lag_1",0.682344113640529,0.0445566960470607,15.3140644207515,2.89602938883271e-37,"sum_alum",152.127234218262,0.558355915303733,1,"2000-07-11","2021-06-15",253
"40","tli_lag_8",-0.0795580559080329,0.0629267512896871,-1.26429625362006,0.207365672377947,"sum_alum",152.127234218262,0.558355915303733,1,"2000-07-11","2021-06-15",253
"41","tli_lag_9",0.0562330379415726,0.0747739796736239,0.752040190812641,0.452773106625456,"sum_alum",152.127234218262,0.558355915303733,1,"2000-07-11","2021-06-15",253
"42","tli_lag_10",0.20986876646319,0.0643529692518475,3.2612134125756,0.0012725408979739,"sum_alum",152.127234218262,0.558355915303733,1,"2000-07-11","2021-06-15",253
"43","Intercept",0.648786962895561,0.259354718736706,2.50154292952812,0.0130381253403254,"none",150.457347884257,0.559394975903554,1,"2000-07-11","2021-06-15",253
"44","tli_lag_1",0.677565497506324,0.043918774753128,15.427695816083,1.09105175682249e-37,"none",150.457347884257,0.559394975903554,1,"2000-07-11","2021-06-15",253
"45","tli_lag_8",-0.0853334074682382,0.0622482249566006,-1.37085688030032,0.171710930124078,"none",150.457347884257,0.559394975903554,1,"2000-07-11","2021-06-15",253
"46","tli_lag_9",0.0543977408575254,0.0746348268999991,0.728851973227073,0.466808804191134,"none",150.457347884257,0.559394975903554,1,"2000-07-11","2021-06-15",253
"47","tli_lag_10",0.203371840727753,0.0635284746567097,3.20127064008255,0.0015546885474408,"none",150.457347884257,0.559394975903554,1,"2000-07-11","2021-06-15",253
