"variable","mean","sd","n","trend","p_value"
"TLI",4.37250382141689,0.517973241377161,319,-0.0719658508896828,0.0552525371313095
"Chl-a",11.599670846395,14.9648122168945,319,0.0507353916764259,0.177647471427917
"Secchi",2.92626069811912,1.06403716584446,319,-0.0198195762932301,0.601046860218048
"Total nitrogen",399.860407491912,186.248095723701,319,-0.182304516434669,1.22272774660814e-06
"Total phosphorus",32.65078369279,18.9776380646161,319,-0.122380673885345,0.00117946392856538
"Bottom water DRP",12.2285942492013,19.8967254365917,319,-0.157323002815247,4.76499335491098e-05
"Bottom water NH4",46.2292332268371,85.2786088580614,319,-0.0167905315756798,0.661650002002716
"Bottom water temp",15.0566302063221,3.8557500069634,319,0.0661840289831161,0.0780807733535767
"Mean air temp",12.7427599071691,3.49649361695533,319,0.0531017109751701,0.157315611839294
"Min windpseed",0.517233344441653,0.283897868123717,319,-0.0438734889030457,0.242682278156281
"Water level",294.734244743308,0.611208960822534,319,0.431403875350952,0
"Alum dosed",7184.20062695925,12707.1926805749,319,0.453289687633514,0
